Language,Algorithm,ArrayState,Size,TimeMs,Comparisons,Swaps
C#,BubbleSort,Random,10000,436.5,49995000,24915180
C,BubbleSort,Random,10000,275.1,49995000,24915180
C++,BubbleSort,Random,10000,379.4,49995000,24915180
C#,SelectionSort,Random,10000,162.2,49995000,9989
C,SelectionSort,Random,10000,131.3,49995000,9989
C++,SelectionSort,Random,10000,135.5,49995000,9989
C#,InsertionSort,Random,10000,118.8,24925174,24915180
C,InsertionSort,Random,10000,98.1,24925174,24915180
C++,InsertionSort,Random,10000,90.2,24925174,24915180
C#,QuickSort,Random,10000,1.4,155377,83817
C,QuickSort,Random,10000,1,155377,83817
C++,QuickSort,Random,10000,1.5,155377,83817
C#,MergeSort,Random,10000,2.7,120479,267232
C,MergeSort,Random,10000,1.3,120479,267232
C++,MergeSort,Random,10000,1,120479,267232
C#,BubbleSort,Sorted,10000,175.3,49995000,0
C,BubbleSort,Sorted,10000,138.6,49995000,0
C++,BubbleSort,Sorted,10000,136.1,49995000,0
C#,SelectionSort,Sorted,10000,163.8,49995000,0
C,SelectionSort,Sorted,10000,130.9,49995000,0
C++,SelectionSort,Sorted,10000,129.5,49995000,0
C#,InsertionSort,Sorted,10000,0,9999,0
C,InsertionSort,Sorted,10000,0,9999,0
C++,InsertionSort,Sorted,10000,0,9999,0
C#,QuickSort,Sorted,10000,0,113631,11808
C,QuickSort,Sorted,10000,0,113631,11808
C++,QuickSort,Sorted,10000,0,113631,11808
C#,MergeSort,Sorted,10000,1,69008,267232
C,MergeSort,Sorted,10000,0.6,69008,267232
C++,MergeSort,Sorted,10000,0.9,69008,267232
C#,BubbleSort,Reversed,10000,361.3,49995000,49995000
C,BubbleSort,Reversed,10000,292.4,49995000,49995000
C++,BubbleSort,Reversed,10000,415.4,49995000,49995000
C#,SelectionSort,Reversed,10000,166.7,49995000,5000
C,SelectionSort,Reversed,10000,136.4,49995000,5000
C++,SelectionSort,Reversed,10000,135.8,49995000,5000
C#,InsertionSort,Reversed,10000,223.6,49995000,49995000
C,InsertionSort,Reversed,10000,181.4,49995000,49995000
C++,InsertionSort,Reversed,10000,183.6,49995000,49995000
C#,QuickSort,Reversed,10000,0.6,117534,63490
C,QuickSort,Reversed,10000,0.1,117534,63490
C++,QuickSort,Reversed,10000,0.6,117534,63490
C#,MergeSort,Reversed,10000,1.3,64608,267232
C,MergeSort,Reversed,10000,0.9,64608,267232
C++,MergeSort,Reversed,10000,1,64608,267232
C#,QuickSort,Random,100000,21.8,2019561,1047636
C,QuickSort,Random,100000,15.4,2019561,1047636
C++,QuickSort,Random,100000,18.6,2019561,1047636
C#,MergeSort,Random,100000,29.5,1536476,3337856
C,MergeSort,Random,100000,20.6,1536476,3337856
C++,MergeSort,Random,100000,20.7,1536476,3337856
C#,QuickSort,Sorted,100000,6.5,1468946,131070
C,QuickSort,Sorted,100000,4.4,1468946,131070
C++,QuickSort,Sorted,100000,5.3,1468946,131070
C#,MergeSort,Sorted,100000,19.7,853904,3337856
C,MergeSort,Sorted,100000,12.6,853904,3337856
C++,MergeSort,Sorted,100000,12.9,853904,3337856
C#,QuickSort,Reversed,100000,10.1,1513481,795726
C,QuickSort,Reversed,100000,7.6,1513481,795726
C++,QuickSort,Reversed,100000,10,1513481,795726
C#,MergeSort,Reversed,100000,18.7,815024,3337856
C,MergeSort,Reversed,100000,13.8,815024,3337856
C++,MergeSort,Reversed,100000,12.3,815024,3337856
C#,QuickSort,Random,1000000,244.9,24541672,13003461
C,QuickSort,Random,1000000,186.5,24541672,13003461
C++,QuickSort,Random,1000000,220.8,24541672,13003461
C#,MergeSort,Random,1000000,344.4,18674163,39902848
C,MergeSort,Random,1000000,241.4,18674163,39902848
C++,MergeSort,Random,1000000,241.8,18674163,39902848
C#,QuickSort,Sorted,1000000,77.1,17951445,1048574
C,QuickSort,Sorted,1000000,55.3,17951445,1048574
C++,QuickSort,Sorted,1000000,59,17951445,1048574
C#,MergeSort,Sorted,1000000,208.2,10066432,39902848
C,MergeSort,Sorted,1000000,147.2,10066432,39902848
C++,MergeSort,Sorted,1000000,146.1,10066432,39902848
C#,QuickSort,Reversed,1000000,122.5,18401192,9670102
C,QuickSort,Reversed,1000000,89.6,18401192,9670102
C++,QuickSort,Reversed,1000000,116.7,18401192,9670102
C#,MergeSort,Reversed,1000000,215.7,9884992,39902848
C,MergeSort,Reversed,1000000,146.8,9884992,39902848
C++,MergeSort,Reversed,1000000,146.5,9884992,39902848
